Parámetro;región;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
Precipitación;A CORUÑA;278.8;32.3;152.5;90.5;47.9;105.2;40.1;39.5;127.9;391.8;365.5;230.7;1902.7
Precipitación;ALBACETE;10.8;7.7;4.7;1.8;98.3;57.5;4.2;2.4;56.0;28.0;9.9;9.2;290.5
Precipitación;ALICANTE/ALACANT;7.0;32.8;4.3;2.2;147.9;34.3;3.3;8.9;58.5;3.5;0.0;2.6;305.3
Precipitación;ALMERIA;11.8;8.7;3.0;0.9;119.6;20.7;5.3;0.8;37.9;15.0;0.2;2.5;226.4
Precipitación;ARABA/ALAVA;152.2;32.9;19.3;33.4;50.9;106.2;24.8;20.5;80.7;86.7;123.8;67.7;799.1
Precipitación;ASTURIAS;290.9;60.9;32.9;46.7;75.3;103.8;11.2;64.3;78.3;145.4;181.4;101.9;1193.0
Precipitación;AVILA;54.3;8.4;33.0;6.9;84.3;74.6;3.2;0.0;101.4;179.9;97.8;22.3;666.1
Precipitación;BADAJOZ;29.3;4.4;13.5;6.9;34.5;30.1;0.1;0.1;46.1;126.7;54.4;19.2;365.3
Precipitación;ILLES BALEARS;42.3;151.3;8.3;15.6;44.5;27.1;1.4;69.4;46.1;45.2;13.8;8.2;473.2
Precipitación;BARCELONA;7.8;44.1;2.9;26.1;77.2;87.0;14.8;39.3;44.6;29.3;9.2;6.7;389.0
Precipitación;BIZKAIA;314.9;60.4;39.3;60.9;95.0;108.6;20.7;87.7;104.2;93.1;230.4;140.7;1355.9
Precipitación;BURGOS;97.4;22.5;19.1;21.8;42.4;93.5;8.8;10.7;55.8;109.3;98.2;44.4;623.9
Precipitación;CACERES;60.5;2.8;29.9;7.7;68.2;45.3;0.0;0.0;67.9;202.1;113.0;33.2;630.6
Precipitación;CADIZ;51.9;22.3;34.5;3.0;33.4;19.6;0.0;0.1;55.3;85.2;28.9;23.9;358.1
Precipitación;CANTABRIA;313.5;65.9;26.5;44.2;106.9;95.4;26.9;78.7;70.0;90.3;187.2;105.2;1210.7
Precipitación;CASTELLON/CASTELLÓ;2.4;37.4;2.2;9.6;96.7;64.3;23.9;18.1;107.0;8.4;4.5;5.4;379.9
Precipitación;CEUTA;92.8;83.8;37.3;0.0;47.6;54.2;0.0;0.0;9.1;67.1;6.9;58.2;457.0
Precipitación;CIUDAD REAL;23.5;3.6;8.0;2.6;70.5;53.5;0.4;0.1;61.0;76.0;37.6;13.8;350.6
Precipitación;CORDOBA;24.0;14.9;17.4;2.4;55.4;40.1;0.1;0.0;45.0;93.2;49.2;21.3;363.0
Precipitación;CUENCA;41.6;3.4;10.5;4.3;53.5;73.9;4.2;0.8;72.9;63.1;48.1;18.5;394.8
