province,year,annual_prec_mm
A Coruña,2019,2.8589041095890413
A Coruña,2020,2.6205479452054794
A Coruña,2021,2.83013698630137
A Coruña,2022,2.4745205479452057
A Coruña,2023,2.9684931506849317
A Coruña,2024,3.1416438356164385
Lugo,2019,3.494246575342466
Lugo,2020,2.894246575342466
Lugo,2021,2.2953424657534245
Lugo,2022,2.5446575342465754
Lugo,2023,2.9852054794520546
Lugo,2024,2.4578082191780823
Ourense,2019,2.5238356164383564
Ourense,2020,1.9397260273972603
Ourense,2021,2.3024657534246575
Ourense,2022,1.2975342465753426
Ourense,2023,1.63013698630137
Ourense,2024,1.4545205479452055
Pontevedra,2019,5.160821917808219
Pontevedra,2020,4.571232876712329
Pontevedra,2021,4.40054794520548
Pontevedra,2022,4.466575342465753
Pontevedra,2023,4.478904109589041
Pontevedra,2024,4.932602739726027
