"CODCONC","PROVINCIA","CONCELLO","NOMECAPITA","...5","search","latitude","longitude","station_id","station_name","distance_km"
15002,"A Coruña","Ames","Bertamiráns",NA,"Bertamiráns, Ames, A Coruña, Spain",42.8594847,-8.6501713,"1475X","SANTIAGO DE COMPOSTELA",7.90748729757466
15006,"A Coruña","Arzúa","Arzúa",NA,"Arzúa, Arzúa, A Coruña, Spain",42.9237495,-8.1528175,"1410X","SOBRADO",16.5417666425949
15083,"A Coruña","Toques","Souto",NA,"Souto, Toques, A Coruña, Spain",42.9668163,-7.9727602,"1410X","SOBRADO",8.85660987061315
15085,"A Coruña","Touro","Fonte Díaz",NA,"Fonte Díaz, Touro, A Coruña, Spain",42.8672029,-8.3038132,"1428","SANTIAGO DE COMPOSTELA AEROPUERTO",9.0016328501017
15010,"A Coruña","Boimorto","Gándara, A",NA,"Gándara, A, Boimorto, A Coruña, Spain",43.0009184,-8.1336282,"1410X","SOBRADO",9.94121568597882
15011,"A Coruña","Boiro","Boiro de Arriba",NA,"Boiro de Arriba, Boiro, A Coruña, Spain",42.6504818,-8.8858851,"1442U","BOIRO",0.897815517636133
15012,"A Coruña","Boqueixón","Forte, O",NA,"Forte, O, Boqueixón, A Coruña, Spain",42.8280056,-8.425231,"1428","SANTIAGO DE COMPOSTELA AEROPUERTO",6.78356228717373
15013,"A Coruña","Brión","Pedrouzos",NA,"Pedrouzos, Brión, A Coruña, Spain",42.8661588,-8.6785466,"1475X","SANTIAGO DE COMPOSTELA",10.0613540072451
15033,"A Coruña","Dodro","Tallós",NA,"Tallós, Dodro, A Coruña, Spain",42.7158769,-8.7030569,"1476R","ROIS, CASAS DO PORTO",3.88216603705573
15042,"A Coruña","Lousame","Portobravo",NA,"Portobravo, Lousame, A Coruña, Spain",42.785175,-8.8652813,"1435C","NOIA",1.89766138556567
15046,"A Coruña","Melide","Melide",NA,"Melide, Melide, A Coruña, Spain",42.9145741,-8.0136139,"1410X","SOBRADO",13.7175340236822
15057,"A Coruña","Noia","Noia","1435C","Noia, Noia, A Coruña, Spain",42.7977234,-8.872899,"1435C","NOIA",0.386467120475815
15065,"A Coruña","Padrón","Padrón",NA,"Padrón, Padrón, A Coruña, Spain",42.7389818,-8.6525766,"1473A","PADRÓN",2.0718965796828
15066,"A Coruña","Pino, O","Pedrouzo, O",NA,"Pedrouzo, O, Pino, O, A Coruña, Spain",42.9046789,-8.3624169,"1428","SANTIAGO DE COMPOSTELA AEROPUERTO",4.33519121684998
15067,"A Coruña","Pobra do Caramiñal, A","Pobra do Caramiñal, A",NA,"Pobra do Caramiñal, A, Pobra do Caramiñal, A, A Coruña, Spain",42.5955742,-8.9276943,"1442U","BOIRO",6.10627767379393
15071,"A Coruña","Porto do Son","Porto do Son",NA,"Porto do Son, Porto do Son, A Coruña, Spain",42.7275896,-9.0037717,"1437O","MONTE IROITE",6.61717355945657
15072,"A Coruña","Rianxo","Rianxo",NA,"Rianxo, Rianxo, A Coruña, Spain",42.6539173,-8.8103516,"1442U","BOIRO",6.78809861213475
15073,"A Coruña","Ribeira","Santa Uxía de Ribeira",NA,"Santa Uxía de Ribeira, Ribeira, A Coruña, Spain",42.5564829,-8.9922031,"1442U","BOIRO",12.7055122392735
15074,"A Coruña","Rois","Dices, Os",NA,"Dices, Os, Rois, A Coruña, Spain",42.7612647,-8.694397,"1476R","ROIS, CASAS DO PORTO",2.09788627695661
15078,"A Coruña","Santiago de Compostela","Santiago de Compostela",NA,"Santiago de Compostela, Santiago de Compostela, A Coruña, Spain",42.8827376,-8.5381682,"1475X","SANTIAGO DE COMPOSTELA",1.61702997998347
15079,"A Coruña","Santiso","Agro do Chao",NA,"Agro do Chao, Santiso, A Coruña, Spain",42.8519473,-8.0609874,"1455I","RODEIRO-VILAMAIOR",17.934339159257
15080,"A Coruña","Sobrado","Sobrado",NA,"Sobrado, Sobrado, A Coruña, Spain",43.0403957,-8.0224927,"1410X","SOBRADO",0.29192891978422
15082,"A Coruña","Teo","Ramallosa, A",NA,"Ramallosa, A, Teo, A Coruña, Spain",42.7954277,-8.5481857,"1475X","SANTIAGO DE COMPOSTELA",8.99324576092641
15089,"A Coruña","Vedra","Avenida do Mestre Manuel Gómez Lorenzo",NA,"Avenida do Mestre Manuel Gómez Lorenzo, Vedra, A Coruña, Spain",42.7753675,-8.4813891,"1468X","A ESTRADA",9.24462553495852
27003,"Lugo","Antas de Ulla","Antas de Ulla",NA,"Antas de Ulla, Antas de Ulla, Lugo, Spain",42.7822537,-7.8896857,"1455I","RODEIRO-VILAMAIOR",9.49024987868103
27009,"Lugo","Carballedo","Barrela, A",NA,"Barrela, A, Carballedo, Lugo, Spain",42.5421672,-7.8195243,"1455I","RODEIRO-VILAMAIOR",21.7658347416968
27016,"Lugo","Chantada","Chantada",NA,"Chantada, Chantada, Lugo, Spain",42.6109077,-7.8107492,"1455I","RODEIRO-VILAMAIOR",16.1599386665226
27020,"Lugo","Friol","Friol",NA,"Friol, Friol, Lugo, Spain",43.0269017,-7.7836572,"1518A","LUGO",19.0610881066754
