"station","year","month","indicativo","fecha","p_max","n_cub","hr","inso","q_max","nw_55","q_mar","q_med","tm_min","ta_max","ts_min","nt_30","nv_0050","n_des","w_racha","np_100","n_nub","p_sol","nw_91","ts_20","np_001","ta_min","w_rec","e","np_300","nv_1000","p_mes","w_med","nt_00","ti_max","tm_mes","tm_max","nv_0100","q_min","np_010","n_gra","n_fog","n_llu","n_tor","n_nie","start","end","glo","evap"
"1505",2026,1,"1505","2026-01","33.0(26)",17,89,1,"975.4(10)",5,1010.9,957.8,3.5,"13.9(12)",10.5,0,1,0,"25/16.1(21)",8,13,11,0,7.4,28,"-2.5(05)",217,89,1,0,214.8,9,4,4.7,6.6,9.6,0,"937.2(28)",22,NA,NA,NA,NA,NA,2026,2026,NA,NA
"1505",2026,2,"1505","2026-02","27.4(02)",17,82,3.1,"978.8(20)",3,1014.6,961.9,4.7,"22.3(23)",11.2,0,NA,1,"26/20.8(11)",8,10,29,0,8.8,20,"-0.5(21)",223,99,0,NA,203.5,9,2,8,9.1,13.4,NA,"932.3(04)",19,NA,NA,NA,NA,NA,2026,2026,NA,NA
"1505",2026,3,"1505","2026-03","18.0(05)",8,73,6.4,"983.6(30)",0,1020.3,967.3,3.1,"25.1(17)",8.1,0,2,9,"06/12.5(25)",1,14,54,0,10.4,9,"-0.8(01)",121,91,0,0,35.4,5,2,9.4,9.8,16.6,0,"953.7(18)",6,0,15,12,0,0,2026,2026,NA,NA
"1505",2026,4,"1505","2026-04","4.6(08)",15,71,6.5,"977.7(01)",0,1017.6,965.6,6.4,"29.4(10)",11.5,0,3,0,"25/14.2(21)",0,14,49,0,14.2,10,"-1.6(12)",119,112,0,0,18.6,6,2,12.1,14,21.5,0,"950.5(21)",6,0,9,11,0,0,2026,2026,NA,NA
"1505",2026,5,"1505","2026-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2026,2026,NA,NA
"1505",2026,6,"1505","2026-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2026,NA,NA
"1505",2026,7,"1505","2026-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2026,NA,NA
"1505",2026,8,"1505","2026-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2026,NA,NA
"1505",2026,9,"1505","2026-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2026,NA,NA
"1505",2026,10,"1505","2026-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2026,2026,NA,NA
