"","indicativo","fecha","p_max","n_cub","glo","hr","n_gra","n_fog","inso","q_max","nw_55","q_mar","q_med","tm_min","ta_max","ts_min","nt_30","nv_0050","n_des","w_racha","np_100","n_nub","p_sol","nw_91","np_001","ta_min","w_rec","e","np_300","nv_1000","p_mes","n_llu","n_tor","w_med","nt_00","ti_max","n_nie","tm_mes","tm_max","nv_0100","q_min","np_010"
"1","1428","2026-01","88.9(26)",24,11162,89,0,10,1.6,"985.4(07)",13,1011,967.2,4.4,"13.0(26)",9.7,0,0,0,"27/25.8(29)",15,7,17,1,29,"-1.2(06)",361,94,2,1,389.3,28,5,16,2,5.9,1,7.2,10,0,"946.4(28)",26
"2","1428","2026-02","39.0(07)",19,17777,85,0,5,2.8,"988.3(20)",9,1012.9,969.3,5.9,"20.0(23)",11.5,0,0,0,"26/23.6(11)",13,9,26,0,23,"-0.4(22)",388,102,3,2,350.7,23,4,17,1,7.7,0,9.3,12.6,0,"937.8(05)",21
"3","1428","2026-03","9.9(05)",11,41414,72,0,5,6.4,"993.1(30)",1,1020.2,976.6,6,"22.7(19)",9.9,0,0,7,"01/16.4(05)",0,13,53,0,10,"1.5(01)",258,95,0,2,23.5,12,0,12,0,8.8,0,11,16,0,"962.4(18)",6
"4","1428","2026-04","9.9(07)",12,53876,71,0,12,8,"986.3(01)",1,1017.6,974.6,8.1,"27.3(06)",12.3,0,0,3,"35/16.4(09)",0,15,60,0,10,"0.2(12)",242,115,0,7,21.7,11,0,12,0,12.3,0,14.2,20.3,0,"960.3(21)",5
"5","1428","2026-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1428","2026-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1428","2026-07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1428","2026-08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1428","2026-09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1428","2026-10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1428","2026-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1428","2026-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1428","2026-13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
