,indicativo,indsinop,nombre,provincia,altitud,longitud,latitud
1,B013X,8304,"ESCORCA, LLUC",ILLES BALEARS,490,2.885833333,39.82333333
2,B051A,8316,"SÓLLER, PUERTO",BALEARES,5,2.691388889,39.79555556
3,B087X,,BANYALBUFAR,ILLES BALEARS,60,2.512777778,39.68916667
4,B103B,,ANDRATX - SANT ELM,BALEARES,52,2.368888889,39.57944444
5,B158X,,"CALVIÀ, ES CAPDELLÀ",BALEARES,50,2.466388889,39.55138889
6,B228,8301,"PALMA, PUERTO",BALEARES,3,2.625277778,39.55416667
7,B236C,,"PALMA, UNIVERSITAT",ILLES BALEARS,95,2.643888889,39.64222222
8,B248,8303,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,1030,2.713055556,39.735
9,B275E,8302,"SON BONET, AEROPUERTO",BALEARES,47,2.706666667,39.60583333
10,B278,8306,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5,2.736666667,39.56083333
11,B301,8308,"LLUCMAJOR, CAP BLANC",BALEARES,113,2.785,39.37972222
12,B334X,,LLUCMAJOR,ILLES BALEARS,140,2.891666667,39.49555556
13,B341X,,PORRERES,ILLES BALEARS,149,3.005555556,39.50611111
14,B346X,8310,PORRERES,ILLES BALEARS,120,3.019166667,39.52166667
15,B362X,,"CAMPOS, CAN SION",ILLES BALEARS,40,3.064166667,39.40583333
16,B373X,,"CAMPOS, SALINES LLEVANT",ILLES BALEARS,3,3.011944444,39.35111111
17,B398A,,"CABRERA, PARQUE NACIONAL DE CABRERA",BALEARES,165,2.936666667,39.13555556
18,B410B,,SANTANYÍ,BALEARES,45,3.145833333,39.34
19,B434X,8309,PORTOCOLOM,ILLES BALEARS,17,3.271666667,39.41444444
20,B496X,,SON SERVERA,ILLES BALEARS,25,3.383611111,39.63027778
21,B526X,,ARTÀ,ILLES BALEARS,110,3.351111111,39.68861111
22,B569X,8311,CAPDEPERA,BALEARES,57,3.478055556,39.71666667
23,B603X,,ARTÀ-COLÒNIA DE SANT PERE,ILLES BALEARS,99,3.278611111,39.72305556
24,B605X,,"MURO, S'ALBUFERA",ILLES BALEARS,2,3.104722222,39.79666667
25,B614E,,MANACOR,ILLES BALEARS,100,3.217777778,39.55694444
26,B640X,,PETRA,BALEARES,95,3.121111111,39.61638889
27,B644B,,SINEU,ILLES BALEARS,120,3.002222222,39.64333333
28,B656A,,SANTA MARÍA DEL CAMÍ,BALEARES,121,2.800277778,39.6525
29,B662X,,BINISSALEM,ILLES BALEARS,105,2.873888889,39.67805556
30,B684A,,"ESCORCA, SON TORRELLA",ILLES BALEARS,842,2.787777778,39.79277778
31,B691,,LA PUEBLA (SA CANOVA),BALEARES,40,3.015277778,39.74833333
32,B691Y,8312,SA POBLA,BALEARES,32,3.016666667,39.74916667
33,B760X,,POLLENÇA,ILLES BALEARS,45,3.024166667,39.87694444
34,B780X,,PORT DE POLLENÇA,ILLES BALEARS,2,3.100277778,39.90944444
35,B800X,,"LA MOLA, MAÓ",ILLES BALEARS,78,4.323888889,39.87611111
36,B825B,,ES MERCADAL,ILLES BALEARS,80,4.086388889,39.99055556
37,B860X,,CIUTADELLA,ILLES BALEARS,20,3.853888889,39.99277778
38,B870C,,"CIUTADELLA, CALA GALDANA",BALEARES,43,3.956666667,39.94472222
39,B893,8314,"MENORCA, AEROPUERTO",BALEARES,91,4.215555556,39.85472222
40,B908X,,SANT JOAN DE LABRITJA,ILLES BALEARS,110,1.4925,39.05611111
41,B925,,SANT ANTONI DE PORTMANY,BALEARES,32,1.321388889,38.96305556
42,B954,8373,"IBIZA, AEROPUERTO",ILLES BALEARS,6,1.384444444,38.87638889
43,B957,,EIVISSA,BALEARES,3,1.441388889,38.9225
44,B986,,FORMENTERA,BALEARES,24,1.463611111,38.69361111
45,C018J,,TÍAS,LAS PALMAS,376,-13.69027778,28.96972222
46,C019V,,YAIZA PLAYA BLANCA,LAS PALMAS,6,-13.835,28.85888889
47,C029O,60040,LANZAROTE AEROPUERTO,LAS PALMAS,14,-13.60027778,28.95194444
48,C038N,,HARÍA,LAS PALMAS,277,-13.48916667,29.14361111
49,C048W,,TINAJO,LAS PALMAS,275,-13.68083333,29.0425
50,C101A,,ROQUE DE LOS MUCHACHOS,SANTA CRUZ DE TENERIFE,2223,-17.89527778,28.75583333
51,C117A,,PUNTAGORDA,STA. CRUZ DE TENERIFE,684,-17.98555556,28.76055556
52,C117Z,,TIJARAFE,STA. CRUZ DE TENERIFE,733,-17.93666667,28.67472222
53,C126A,,EL PASO,STA. CRUZ DE TENERIFE,844,-17.85305556,28.65388889
54,C129V,,FUENCALIENTE,STA. CRUZ DE TENERIFE,19,-17.84111111,28.455
55,C129Z,60004,TAZACORTE,SANTA CRUZ DE TENERIFE,62,-17.91527778,28.59583333
56,C139E,60005,LA PALMA AEROPUERTO,SANTA CRUZ DE TENERIFE,33,-17.755,28.63305556
57,C148F,,SAN ANDRÉS Y SAUCES,STA. CRUZ DE TENERIFE,362,-17.78222222,28.80472222
58,C229J,,PÁJARA,LAS PALMAS,15,-14.35805556,28.04916667
59,C239N,,"TUINEJE,PUERTO GRAN TARAJAL",LAS PALMAS,1,-14.02305556,28.20861111
60,C248E,,ANTIGUA,LAS PALMAS,252,-14.01916667,28.41694444
61,C249I,60035,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,-13.86305556,28.44472222
62,C258K,,LA OLIVA,LAS PALMAS,217,-13.93166667,28.6125
63,C314Z,,"VALLEHERMOSO, ALTO IGUALERO",STA. CRUZ DE TENERIFE,1474,-17.24916667,28.10694444
64,C316I,,ARURE,STA. CRUZ DE TENERIFE,916,-17.315,28.12833333
65,C317B,,AGULO,STA. CRUZ DE TENERIFE,765,-17.21305556,28.17888889
66,C319W,,"VALLEHERMOSO, DAMA",STA. CRUZ DE TENERIFE,190,-17.30638889,28.05416667
67,C328W,,HERMIGUA,STA. CRUZ DE TENERIFE,252,-17.19416667,28.16361111
68,C329B,60007,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,-17.21083333,28.03166667
69,C329Z,60008,SAN SEBASTIÁN DE LA GOMERA,STA. CRUZ DE TENERIFE,15,-17.11138889,28.08972222
70,C406G,,"LA OROTAVA, CAÑADAS TEIDE",STA. CRUZ DE TENERIFE,2150,-16.62611111,28.22416667
71,C419L,60024,LOMO DEL BALO,SANTA CRUZ DE TENERIFE,403,-16.79194444,28.20694444
72,C419X,,ADEJE,STA. CRUZ DE TENERIFE,130,-16.71055556,28.08138889
73,C428T,,ARICO,STA. CRUZ DE TENERIFE,418,-16.48333333,28.18083333
74,C429I,60025,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,64,-16.56111111,28.04694444
75,C430E,60010,IZAÑA,SANTA CRUZ DE TENERIFE,2369,-16.49972222,28.30833333
76,C438N,,CANDELARIA,STA. CRUZ DE TENERIFE,463,-16.40166667,28.35916667
77,C439J,60018,GÜÍMAR,SANTA CRUZ DE TENERIFE,115,-16.38222222,28.31833333
78,C446G,,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS",STA. CRUZ DE TENERIFE,868,-16.28027778,28.52638889
79,C447A,60015,TENERIFE NORTE AEROPUERTO,SANTA CRUZ DE TENERIFE,632,-16.32944444,28.4775
80,C449C,60020,STA.CRUZ DE TENERIFE,SANTA CRUZ DE TENERIFE,36,-16.25527778,28.46333333
